time,thrust
1266,4.635701987
1267,4.635596026
1268,4.635490066
1269,4.635384106
1270,4.635278146
1271,4.635172185
1272,4.635066225
1273,4.634960265
1274,4.634854305
1275,4.634748344
1276,4.634642384
1277,4.634536424
1278,4.634430464
1279,4.634324503
1280,4.634218543
1281,4.634112583
1282,4.634006623
1283,4.633900662
1284,4.633794702
1285,4.633688742
1286,4.633582781
1287,4.633476821
1288,4.633370861
1289,4.633264901
1290,4.63315894
1291,4.63305298
1292,4.63294702
1293,4.63284106
1294,4.632735099
1295,4.632629139
1296,4.632523179
1297,4.632417219
1298,4.632311258
1299,4.632205298
1300,4.632099338
1301,4.631993377
1302,4.631887417
1303,4.631781457
1304,4.631675497
1305,4.631569536
1306,4.631463576
1307,4.631357616
1308,4.631251656
1309,4.631145695
1310,4.631039735
1311,4.630933775
1312,4.630827815
1313,4.630721854
1314,4.630615894
1315,4.630509934
1316,4.630403974
1317,4.630298013
1318,4.630192053
1319,4.630086093
1320,4.629980132
1321,4.629874172
1322,4.629768212
1323,4.629662252
1324,4.629556291
1325,4.629450331
1326,4.629344371
1327,4.629238411
1328,4.62913245
1329,4.62902649
1330,4.62892053
1331,4.62881457
1332,4.628708609
1333,4.628602649
1334,4.628496689
1335,4.628390728
1336,4.628284768
1337,4.628178808
1338,4.628072848
1339,4.627966887
1340,4.627860927
1341,4.627754967
1342,4.627649007
1343,4.627543046
1344,4.627437086
1345,4.627331126
1346,4.627225166
1347,4.627119205
1348,4.627013245
1349,4.626907285
1350,4.626801325
1351,4.626695364
1352,4.626589404
1353,4.626483444
1354,4.626377483
1355,4.626271523
1356,4.626165563
1357,4.626059603
1358,4.625953642
1359,4.625847682
1360,4.625741722
1361,4.625635762
1362,4.625529801
1363,4.625423841
1364,4.625317881
1365,4.625211921
1366,4.62510596
1367,4.625
1368,4.625
1369,4.625
1370,4.625
1371,4.625
1372,4.625
1373,4.625
1374,4.625
1375,4.625
1376,4.625
1377,4.625
1378,4.625
1379,4.625
1380,4.625
1381,4.625
1382,4.625
1383,4.625
1384,4.625
1385,4.625
1386,4.625
1387,4.625
1388,4.625
1389,4.625
1390,4.625
1391,4.625
1392,4.625
1393,4.625
1394,4.625
1395,4.625
1396,4.625
1397,4.625
1398,4.625
1399,4.625
1400,4.625
1401,4.625
1402,4.625
1403,4.625
1404,4.625
1405,4.625
1406,4.625
1407,4.625
1408,4.625
1409,4.625
1410,4.625
1411,4.625
1412,4.625
1413,4.625
1414,4.625
1415,4.625
1416,4.625
1417,4.625
1418,4.625
1419,4.625
1420,4.625
1421,4.625
1422,4.625
1423,4.625
1424,4.625
1425,4.625
1426,4.625
1427,4.625
1428,4.625
1429,4.625
1430,4.625
1431,4.625
1432,4.625
1433,4.625
1434,4.625
1435,4.625
1436,4.625
1437,4.625
1438,4.625
1439,4.625
1440,4.625
1441,4.625
1442,4.625
1443,4.625
1444,4.625
1445,4.625
1446,4.625
1447,4.625
1448,4.625
1449,4.625
1450,4.625
1451,4.625
1452,4.625
1453,4.625
1454,4.625
1455,4.625
1456,4.625
1457,4.625
1458,4.625
1459,4.625
1460,4.625
1461,4.625
1462,4.625
1463,4.625
1464,4.625
1465,4.625
1466,4.625
1467,4.625
1468,4.625
1469,4.625
1470,4.625
1471,4.625
1472,4.625
1473,4.625
1474,4.625
1475,4.625
1476,4.625
1477,4.625
1478,4.625
1479,4.625
1480,4.625
1481,4.625
1482,4.625
1483,4.625
1484,4.625
1485,4.625
1486,4.625
1487,4.625
1488,4.625
1489,4.625
1490,4.625
1491,4.625
1492,4.625
1493,4.625
1494,4.625
1495,4.625
1496,4.625
1497,4.625
1498,4.625
1499,4.625
1500,4.625
1501,4.625
1502,4.625
1503,4.625
1504,4.625
1505,4.625
1506,4.625
1507,4.625
1508,4.625
1509,4.625
1510,4.625
1511,4.625
1512,4.625
1513,4.625
1514,4.625
1515,4.625
1516,4.625
1517,4.625
1518,4.625
1519,4.625
1520,4.625
1521,4.625
